l0_category,aov
"Atta, Rice & Dal",286.732210249117
Baby Care,431.093186586911
Bakery & Biscuits,106.436022014123
Beauty,322.442073124878
Beverages,99.6802454891712
Breakfast & Instant Food,170.151515263102
"Chicken, Meat & Fish",229.891108993392
Cleaning Essentials,280.605586019247
Cold Drinks & Juices,122.083671833436
"Dairy, Bread & Eggs",118.681889662898
Home & Office,197.470838060351
Household Needs,221.754521276596
"Masala, Oil & More",378.675034679744
Munchies,99.5852147985686
Organic & Gourmet,158.240347534577
Paan Corner,284.537207353309
Personal Care,269.69179691133
Pet Care,485.742925429033
Pharma & Wellness,144.067715667538
Pharmacy by Apollo,137.666666666667
Sauces & Spreads,144.683422039374
Specials,0.0805218055208183
Sweet Tooth,163.394230488809
"Tea, Coffee & Health Drinks",200.771743928304
Vegetables & Fruits,125.982896413185
World Food,296.643969298246
